Song,Artist,Date,Streams,Rank
Stay (with Justin Bieber),The Kid LAROI,2021-07-10,"2,118,377",1
good 4 u,Olivia Rodrigo,2021-07-10,"1,762,606",2
Motley Crew,Post Malone,2021-07-10,"1,415,831",3
Kiss Me More (feat. SZA),Doja Cat,2021-07-10,"1,256,627",4
Levitating (feat. DaBaby),Dua Lipa,2021-07-10,"979,950",5
Beggin',Måneskin,2021-07-10,"968,104",6
NDA,Billie Eilish,2021-07-10,"953,138",7
deja vu,Olivia Rodrigo,2021-07-10,"935,633",8
Ain't Shit,Doja Cat,2021-07-10,"930,121",9
RAPSTAR,Polo G,2021-07-10,"909,145",10
MONTERO (Call Me By Your Name),Lil Nas X,2021-07-10,"905,467",11
Bad Habits,Ed Sheeran,2021-07-10,"880,646",12
traitor,Olivia Rodrigo,2021-07-10,"879,744",13
Permission to Dance,BTS,2021-07-10,"842,560",14
Thot Shit,Megan Thee Stallion,2021-07-10,"815,972",15
Heat Waves,Glass Animals,2021-07-10,"758,300",16
Wants and Needs (feat. Lil Baby),Drake,2021-07-10,"755,226",17
Yonaguni,Bad Bunny,2021-07-10,"746,457",18
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,2021-07-10,"719,940",19
You Right,"Doja Cat, The Weeknd",2021-07-10,"714,679",20
favorite crime,Olivia Rodrigo,2021-07-10,"680,944",21
Butter,BTS,2021-07-10,"675,556",22
WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),"Tyler, The Creator",2021-07-10,"624,674",23
happier,Olivia Rodrigo,2021-07-10,"611,223",24
Astronaut In The Ocean,Masked Wolf,2021-07-10,"597,757",25
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",2021-07-10,"592,241",26
drivers license,Olivia Rodrigo,2021-07-10,"588,966",27
brutal,Olivia Rodrigo,2021-07-10,"582,538",28
Todo De Ti,Rauw Alejandro,2021-07-10,"579,015",29
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,2021-07-10,"564,358",30
WHOLE LOTTA MONEY (feat. Nicki Minaj) - Remix,BIA,2021-07-10,"541,959",31
"jealousy, jealousy",Olivia Rodrigo,2021-07-10,"539,242",32
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,2021-07-10,"536,384",33
Red Light Green Light,DaBaby,2021-07-10,"529,398",34
Need To Know,Doja Cat,2021-07-10,"516,669",35
The Jackie (with J. Cole & Lil Tjay),Bas,2021-07-10,"499,266",36
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),DJ Khaled,2021-07-10,"481,889",37
Ball If I Want To,DaBaby,2021-07-10,"473,895",38
Blinding Lights,The Weeknd,2021-07-10,"472,956",39
Miss The Rage (feat. Playboi Carti),Trippie Redd,2021-07-10,"472,808",40
Heartbreak Anniversary,Giveon,2021-07-10,"466,475",41
Memory,"Kane Brown, blackbear",2021-07-10,"464,885",42
Fancy Like,Walker Hayes,2021-07-10,"453,683",43
Best Friend (feat. Doja Cat),Saweetie,2021-07-10,"446,737",44
