,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Beggin',Måneskin,7178321,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
2,"Stay (with Justin Bieber)","The Kid LAROI",6355637,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20
3,"good 4 u","Olivia Rodrigo",6177736,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
4,"Bad Habits","Ed Sheeran",5475630,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
5,"Kiss Me More (feat. SZA)","Doja Cat",4217120,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
6,"MONTERO (Call Me By Your Name)","Lil Nas X",4144215,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
7,"Todo De Ti","Rauw Alejandro",4041379,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
8,"I WANNA BE YOUR SLAVE",Måneskin,3769817,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
9,"Permission to Dance",BTS,3767339,https://open.spotify.com/track/0LThjFY2iTtNdd4wviwVV2
10,Yonaguni,"Bad Bunny",3750683,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
11,"Levitating (feat. DaBaby)","Dua Lipa",3396873,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
12,"Qué Más Pues?","J Balvin",3287227,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
13,Butter,BTS,3270574,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
14,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",3035026,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
15,traitor,"Olivia Rodrigo",2975824,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
16,"deja vu","Olivia Rodrigo",2917159,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
17,"AM Remix","Nio Garcia",2615756,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
18,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",2562377,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
19,"Volando - Remix",Mora,2474856,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
20,"Motley Crew","Post Malone",2410994,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
21,"drivers license","Olivia Rodrigo",2377789,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
22,happier,"Olivia Rodrigo",2330559,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
23,"Ain't Shit","Doja Cat",2280197,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
24,"Blinding Lights","The Weeknd",2103496,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
25,"Astronaut In The Ocean","Masked Wolf",2099894,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
26,"favorite crime","Olivia Rodrigo",2089024,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
27,"Leave The Door Open","Bruno Mars",2086639,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
28,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2053940,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
29,"Heat Waves","Glass Animals",2008874,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
30,"Need To Know","Doja Cat",1910749,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
31,"You Right","Doja Cat",1879045,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
32,Dynamite,BTS,1870193,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
33,"Pareja Del Año","Sebastian Yatra",1852274,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
34,"jealousy, jealousy","Olivia Rodrigo",1763998,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
35,"Watermelon Sugar","Harry Styles",1753012,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
36,RAPSTAR,"Polo G",1734015,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
37,NDA,"Billie Eilish",1723801,https://open.spotify.com/track/6uqyE384HDSsuwpoF4mjrL
38,DÁKITI,"Bad Bunny",1648474,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
39,"Nicky Jam: Bzrp Music Sessions, Vol. 41",Bizarrap,1597831,https://open.spotify.com/track/03LfOYi0icz4souspZVVhq
40,"Poblado - Remix","J Balvin",1572009,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
41,"The Business",Tiësto,1566412,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
42,"Build a Bitch","Bella Poarch",1564215,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
43,Miénteme,TINI,1524337,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
44,"Mood (feat. iann dior)",24kGoldn,1498708,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
45,"Fiel - Remix",Wisin,1492366,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
46,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,1461196,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
47,brutal,"Olivia Rodrigo",1427865,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
48,Pepas,Farruko,1414981,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
49,Rasputin,Majestic,1386813,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
50,Freaks,"Surf Curse",1379643,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
51,2/Catorce,"Rauw Alejandro",1374505,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
52,Dinero,"Trinidad Cardona",1359714,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
53,"911 - Remix",Sech,1357295,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
54,"Heartbreak Anniversary",Giveon,1356066,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
55,"Your Love (9PM)",ATB,1350284,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
56,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1343756,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
57,"Thot Shit","Megan Thee Stallion",1335565,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
58,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1332555,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
59,"ZITTI E BUONI",Måneskin,1320420,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
60,"Tiroteo - Remix","Marc Seguí",1313996,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
61,Run,OneRepublic,1300315,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
62,"Save Your Tears","The Weeknd",1281988,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
63,"Don't Start Now","Dua Lipa",1262000,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
64,"Someone You Loved","Lewis Capaldi",1241275,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
65,"Sweater Weather","The Neighbourhood",1216554,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
66,telepatía,"Kali Uchis",1198261,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
67,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,1169421,https://open.spotify.com/track/5JKnYZOhSP7rOK0jPYcCjV
68,Fiel,"Los Legendarios",1158733,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
69,"EL MAKINON","KAROL G",1151980,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
70,"Entre Nosotros","Tiago PZK",1133510,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
71,"Botella Tras Botella","Gera MX",1131574,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
72,"Bout A Million (feat. 42 Dugg & 21 Savage)","Pop Smoke",1126453,https://open.spotify.com/track/4LaGu95Ui2s4vprSQYWUAZ
73,"WITHOUT YOU","The Kid LAROI",1118546,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
74,"Wants and Needs (feat. Lil Baby)",Drake,1117982,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
75,"Goosebumps - Remix","Travis Scott",1114854,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
76,BED,"Joel Corry",1109302,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
77,"Head & Heart (feat. MNEK)","Joel Corry",1096690,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
78,Arcade,"Duncan Laurence",1092029,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
79,"Tell The Vision (feat. Kanye West & Pusha T)","Pop Smoke",1091026,https://open.spotify.com/track/2UwALqx6yOsXTFt7zRxnts
80,"Demeanor (feat. Dua Lipa)","Pop Smoke",1083530,https://open.spotify.com/track/3DMs7bahbQTnoxCjgP7qoK
81,"Meu Pedaço de Pecado","João Gomes",1083235,https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6
82,"Dance Monkey","Tones And I",1073164,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
83,512,Mora,1070590,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
84,Loco,"Justin Quiles",1039114,https://open.spotify.com/track/6PDlkWmrq2ZKiUuFt2aQsH
85,positions,"Ariana Grande",1030578,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
86,Circles,"Post Malone",1030169,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
87,"Iko Iko (My Bestie)","Justin Wellington",1025809,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
88,"Ram Pam Pam","Natti Natasha",1013216,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
89,"Woo Baby (feat. Chris Brown)","Pop Smoke",987051,https://open.spotify.com/track/58T4yPLn4NjBYXfRxeweyM
90,"Love Again","Dua Lipa",986314,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
91,"enough for you","Olivia Rodrigo",985405,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
92,"Before You Go","Lewis Capaldi",982602,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
93,Levitating,"Dua Lipa",975423,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
94,"Sal y Perrea",Sech,974422,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
95,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",973827,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
96,"Talking to the Moon","Bruno Mars",966375,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
97,"Love Tonight - Edit",Shouse,965744,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
98,Up,"Cardi B",963477,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
99,Reckless,"Madison Beer",962293,https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh
100,Believer,"Imagine Dragons",955898,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
101,"Hold On","Justin Bieber",947230,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
102,"lovely (with Khalid)","Billie Eilish",943853,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
103,Sobrio,Maluma,943180,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
104,"Roses - Imanbek Remix","SAINt JHN",942008,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
105,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",936648,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
106,Streets,"Doja Cat",936364,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
107,"By Your Side (feat. Tom Grennan)","Calvin Harris",932780,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
108,"you broke me first","Tate McRae",921584,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
109,"Ramenez la coupe à la maison",Vegedream,920227,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
110,"Shape of You","Ed Sheeran",917609,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
111,Heather,"Conan Gray",915268,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
112,"KESI - Remix",Camilo,913692,https://open.spotify.com/track/0IqCoZ168iRc9LqfrYgpZy
113,"2:50 Remix",MYA,909661,https://open.spotify.com/track/74znaWw1hmQBusGPSOuTFy
114,Perfect,"Ed Sheeran",898678,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
115,"LA NOCHE DE ANOCHE","Bad Bunny",898314,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
116,Riptide,"Vance Joy",897295,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
117,2055,"Sleepy Hallow",896057,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
118,"In Da Getto","J Balvin",892136,https://open.spotify.com/track/63aj87TQG6F3RVO5nbG2VQ
119,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,891944,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
120,"Wild Side (feat. Cardi B)",Normani,887710,https://open.spotify.com/track/4XkrlDVc8UQUvsyRsxvU0M
121,Señorita,"Shawn Mendes",878913,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
122,"Daddy Issues","The Neighbourhood",877963,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
123,"double take",dhruv,876857,https://open.spotify.com/track/2CVChktEKBsM6v4IfdFU5k
124,"Little Bit of Love","Tom Grennan",876013,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
125,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",875702,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
126,"1 step forward, 3 steps back","Olivia Rodrigo",873093,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
127,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,873050,https://open.spotify.com/track/7COGuXyTr12KvdaYXMqheC
128,"Holy Smokes","Trippie Redd",867003,https://open.spotify.com/track/3EpF150nXMSNjiH0bbmXIL
129,"Bezos I","Bo Burnham",865690,https://open.spotify.com/track/0Kdj7nwaYQmvhxnqZaIQuW
130,"De Museo","Bad Bunny",865175,https://open.spotify.com/track/267NGliXM8YLVZiKAD9Otm
131,Runaway,AURORA,864907,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
132,"The Nights",Avicii,861388,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
