,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Stay (with Justin Bieber)","The Kid LAROI",1863631,https://open.spotify.com/track/5HCyWlXZPP0y6Gqq8TgA20
2,"good 4 u","Olivia Rodrigo",1619876,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
3,"Kiss Me More (feat. SZA)","Doja Cat",1154660,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
4,"Ain't Shit","Doja Cat",997997,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
5,Beggin',Måneskin,980955,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
6,"Levitating (feat. DaBaby)","Dua Lipa",874311,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
7,"deja vu","Olivia Rodrigo",873771,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
8,traitor,"Olivia Rodrigo",871697,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
9,"Bad Habits","Ed Sheeran",864413,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
10,"Motley Crew","Post Malone",846892,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
11,RAPSTAR,"Polo G",830322,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
12,"MONTERO (Call Me By Your Name)","Lil Nas X",813014,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
13,"Heat Waves","Glass Animals",790795,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
14,"Need To Know","Doja Cat",737556,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
15,"Thot Shit","Megan Thee Stallion",654956,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
16,"favorite crime","Olivia Rodrigo",647495,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
17,"Wants and Needs (feat. Lil Baby)",Drake,640100,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
18,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",622869,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
19,"You Right","Doja Cat",588673,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
20,"drivers license","Olivia Rodrigo",574810,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
21,Yonaguni,"Bad Bunny",573647,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
22,happier,"Olivia Rodrigo",572012,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
23,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,565697,https://open.spotify.com/track/5JKnYZOhSP7rOK0jPYcCjV
24,"Todo De Ti","Rauw Alejandro",536061,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
25,brutal,"Olivia Rodrigo",535075,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
26,2055,"Sleepy Hallow",534577,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
27,"jealousy, jealousy","Olivia Rodrigo",527292,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
28,"Permission to Dance",BTS,518702,https://open.spotify.com/track/0LThjFY2iTtNdd4wviwVV2
29,"Holy Smokes","Trippie Redd",515357,https://open.spotify.com/track/3EpF150nXMSNjiH0bbmXIL
30,"Astronaut In The Ocean","Masked Wolf",509224,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
31,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",504354,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
32,"Leave The Door Open","Bruno Mars",504125,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
33,Butter,BTS,504047,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
34,"Ball If I Want To",DaBaby,479895,https://open.spotify.com/track/0cu0rhnlCnJ7JIeHRiLpj3
35,"Fancy Like","Walker Hayes",466205,https://open.spotify.com/track/3ZozFqJJlDBNIm4xqxn2ZD
36,"Red Light Green Light",DaBaby,462536,https://open.spotify.com/track/1YDebgap5OFwXEBG18NJvy
