Acousticness,Artist Name,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Tempo,Track Name,Track Reference,Valence,_id
0.0597,Soso Maness,0.624,0.802,0,0.252,0.252,6,133.888,Petrouchka (feat. PLK),https://api.spotify.com/v1/tracks/03y045SZqaC94yfXl1cU4E,0.818,60f790bb4861b9cdf8200254
0.228,Naps,0.805,0.637,0,0.071,0.071,6,140.045,La kiffance,https://api.spotify.com/v1/tracks/1bwhDrXcAtqePp8mNJ0pTe,0.678,60f790bc4861b9cdf8200255
0.0693,Koba LaD,0.721,0.523,0,0.281,0.281,7,141.034,Daddy chocolat,https://api.spotify.com/v1/tracks/4IbDTrLxImTJfZePAX2nKB,0.757,60f790bd4861b9cdf8200256
0.2,Laylow,0.778,0.722,0,0.529,0.529,5,123.947,R9R-LINE (feat. Damso),https://api.spotify.com/v1/tracks/4QoZVMhE66MDCd0igG0hd6,0.759,60f790bd4861b9cdf8200257
0.127,Måneskin,0.714,0.8,0,0.359,0.359,11,134.002,"Beggin'",https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,0.589,60f790bd4861b9cdf8200258
0.297,Lil Nas X,0.61,0.508,0,0.384,0.384,8,178.818,MONTERO (Call Me By Your Name),https://api.spotify.com/v1/tracks/67BtfxlNbhBmCDR2L2l8qd,0.758,60f790bd4861b9cdf8200259
0.0907,Kungs,0.836,0.846,0.047,0.057,0.057,0,122.042,Never Going Home,https://api.spotify.com/v1/tracks/0xfMlIW8lS40qvpsUw1l0X,0.942,60f790be4861b9cdf820025a
0.187,Laylow,0.674,0.52,0.00000248,0.259,0.259,10,70.572,SPECIAL (feat. Nekfeu & Fousheé),https://api.spotify.com/v1/tracks/11HLDMuPD3wh88XHw4udKO,0.407,60f790be4861b9cdf820025b
0.397,Jul,0.898,0.738,0,0.0786,0.0786,7,128.048,"Pic et pic, alcool et drame",https://api.spotify.com/v1/tracks/14M6BbiHt2w9KHVvoIUIUF,0.604,60f790be4861b9cdf820025c
0.0662,MHD,0.89,0.744,0,0.0648,0.0648,11,123.935,Afro Trap Part. 11 (King Kong),https://api.spotify.com/v1/tracks/1ZSdPeVhNy8VuSiXM3pXhv,0.636,60f790be4861b9cdf820025d
0.0474,OBOY,0.882,0.675,0.000598,0.124,0.124,3,140.092,TDB,https://api.spotify.com/v1/tracks/27Z3UdqvdAhtJlWBMoDjBD,0.758,60f790be4861b9cdf820025e
0.128,Alonzo,0.825,0.878,0.0000894,0.0963,0.0963,9,126.994,La Seleçao,https://api.spotify.com/v1/tracks/2vd2HEhrkafOi2uveHjzzh,0.847,60f790be4861b9cdf820025f
0.324,Jul,0.85,0.809,0,0.17,0.17,0,124.982,Alors la zone,https://api.spotify.com/v1/tracks/5SYovWMQq0vPKMg7kzYCVy,0.708,60f790bf4861b9cdf8200260
0.0469,Ed Sheeran,0.808,0.897,0.0000314,0.364,0.364,11,126.026,Bad Habits,https://api.spotify.com/v1/tracks/6PQ88X9TkUIAUIZJHW2upE,0.591,60f790bf4861b9cdf8200261
0.0622,Reik,0.791,0.915,0,0.244,0.244,10,121.948,A Un Paso De La Luna - Remix,https://api.spotify.com/v1/tracks/6EQR7Y5vVZFiPD0RUECIDv,0.732,60f790bf4861b9cdf8200262
0.517,Laylow,0.578,0.719,0,0.515,0.515,1,129.571,IVERSON,https://api.spotify.com/v1/tracks/5ZjEm81TYFPfE6Ddc0memq,0.728,60f790bf4861b9cdf8200263
0.129,Dadju,0.656,0.718,0,0.0726,0.0726,2,176.27,Mon soleil,https://api.spotify.com/v1/tracks/2Dv1CPIgX29t816ZLscdB2,0.665,60f790bf4861b9cdf8200264
0.0628,Laylow,0.884,0.626,0.0000171,0.155,0.155,8,130.061,STUNTMEN (feat. Alpha Wann & Wit.),https://api.spotify.com/v1/tracks/1YEs58i4G68twRzYaFEu7T,0.637,60f790c04861b9cdf8200265
0.0714,Laylow,0.618,0.42,0,0.122,0.122,8,94.681,WINDOW SHOPPER PART. 2 (feat. Hamza),https://api.spotify.com/v1/tracks/6wFP7BMVFeA6cxUUyTrIxN,0.54,60f790c04861b9cdf8200266
0.422,Gazo,0.774,0.583,0.0000155,0.145,0.145,0,148.018,HAINE&SEX,https://api.spotify.com/v1/tracks/6Vcxzw4ifKqYxVrp3ckpVF,0.323,60f790c04861b9cdf8200267
0.0939,Marwa Loud,0.976,0.578,0,0.119,0.119,2,113.03,Bimbo,https://api.spotify.com/v1/tracks/3ieLcaMIyl1Avm7JtHSk0d,0.803,60f790c04861b9cdf8200268
0.131,Justin Wellington,0.862,0.753,0.00000201,0.077,0.077,5,105.039,Iko Iko (My Bestie),https://api.spotify.com/v1/tracks/7MC4XR9M9amdmKQr2iDF7i,0.827,60f790c04861b9cdf8200269
0.335,Laylow,0.583,0.505,0,0.101,0.101,5,83.175,VOIR LE MONDE BRÛLER,https://api.spotify.com/v1/tracks/4r0U3YkeJvKNsCRSdCs9lx,0.463,60f790c14861b9cdf820026a
0.00883,Dua Lipa,0.702,0.825,0,0.0674,0.0674,6,102.977,Levitating (feat. DaBaby),https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF,0.915,60f790c14861b9cdf820026b
0.316,MHD,0.773,0.776,0.0000715,0.0571,0.0571,1,106.022,Pololo,https://api.spotify.com/v1/tracks/2gmTz7pHMqAk6fpOc88qxA,0.895,60f790c14861b9cdf820026c
0.125,Laylow,0.652,0.516,0,0.15,0.15,4,76.544,UN RÊVE ÉTRANGE,https://api.spotify.com/v1/tracks/0L1JUpc6bjrBvK9pqMTGcb,0.502,60f790c14861b9cdf820026d
0.276,Joé Dwèt Filé,0.756,0.563,0.00000102,0.138,0.138,1,159.985,Jolie madame (feat. Ronisia),https://api.spotify.com/v1/tracks/6gblTHN7eKFPvm4XxnYhl8,0.88,60f790c14861b9cdf820026e
0.018,Laylow,0.739,0.625,0,0.582,0.582,1,94.75,WINDOW SHOPPER PART. 1,https://api.spotify.com/v1/tracks/29GT81KcfMhfYV1BSpL3p2,0.789,60f790c14861b9cdf820026f
0.00772,Trinidad Cardona,0.708,0.782,0,0.107,0.107,2,119.997,Dinero,https://api.spotify.com/v1/tracks/3ggtU1ZOKO8ZNiqPNyXGcm,0.484,60f790c24861b9cdf8200270
0.0076,Riton,0.824,0.862,0.000132,0.303,0.303,2,122.98,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,https://api.spotify.com/v1/tracks/4cG7HUWYHBV6R6tHn1gxrl,0.801,60f790c24861b9cdf8200271
0.105,Tayc,0.594,0.597,0.000103,0.0748,0.0748,6,201.906,Le temps,https://api.spotify.com/v1/tracks/360oH1CqXe9XXzbbi6hvyr,0.639,60f790c24861b9cdf8200272
0.117,13 Organisé,0.901,0.939,0,0.0643,0.0643,6,142.948,Bande organisée,https://api.spotify.com/v1/tracks/717QGTmZdkemDaCo1vQHG0,0.805,60f790c24861b9cdf8200273
0.747,Laylow,0.443,0.448,0.000207,0.145,0.145,4,128.659,UNE HISTOIRE ÉTRANGE,https://api.spotify.com/v1/tracks/1LqDW54jByEjfZJMadiLJU,0.555,60f790c24861b9cdf8200274
