Acousticness,Artist Name,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Tempo,Track Name,Track Reference,Valence,_id
0.127,Måneskin,0.714,0.8,0,0.359,0.359,11,134.002,"Beggin'",https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,0.589,60f79074a24480877399e26f
0.0383,The Kid LAROI,0.591,0.764,0,0.103,0.103,1,169.928,Stay (with Justin Bieber),https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,0.478,60f79076a24480877399e270
0.335,Olivia Rodrigo,0.563,0.664,0,0.0849,0.0849,9,166.928,good 4 u,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,0.688,60f79076a24480877399e271
0.0469,Ed Sheeran,0.808,0.897,0.0000314,0.364,0.364,11,126.026,Bad Habits,https://api.spotify.com/v1/tracks/6PQ88X9TkUIAUIZJHW2upE,0.591,60f79076a24480877399e272
0.259,Doja Cat,0.764,0.705,0.0000892,0.12,0.12,8,110.97,Kiss Me More (feat. SZA),https://api.spotify.com/v1/tracks/3DarAbFujv6eYNliUTyqtz,0.781,60f79076a24480877399e273
0.297,Lil Nas X,0.61,0.508,0,0.384,0.384,8,178.818,MONTERO (Call Me By Your Name),https://api.spotify.com/v1/tracks/67BtfxlNbhBmCDR2L2l8qd,0.758,60f79076a24480877399e274
0.302,Rauw Alejandro,0.78,0.719,0.000196,0.0931,0.0931,3,127.962,Todo De Ti,https://api.spotify.com/v1/tracks/5RwV8BvLfX5injfqYodke9,0.336,60f79077a24480877399e275
0.00165,Måneskin,0.75,0.608,0,0.178,0.178,1,132.507,I WANNA BE YOUR SLAVE,https://api.spotify.com/v1/tracks/4pt5fDVTg5GhEvEtlz9dKk,0.958,60f79077a24480877399e276
0.00544,BTS,0.702,0.741,0,0.337,0.337,9,124.925,Permission to Dance,https://api.spotify.com/v1/tracks/0LThjFY2iTtNdd4wviwVV2,0.646,60f79077a24480877399e277
0.276,Bad Bunny,0.644,0.648,0,0.135,0.135,1,179.951,Yonaguni,https://api.spotify.com/v1/tracks/2JPLbjOn0wPCngEot2STUS,0.44,60f79077a24480877399e278
0.00883,Dua Lipa,0.702,0.825,0,0.0674,0.0674,6,102.977,Levitating (feat. DaBaby),https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF,0.915,60f79077a24480877399e279
0.0261,J Balvin,0.891,0.819,0.000354,0.173,0.173,8,101.968,Qué Más Pues?,https://api.spotify.com/v1/tracks/6hf0RpxTbOprT5nnwzkk8e,0.768,60f79078a24480877399e27a
0.00323,BTS,0.759,0.459,0,0.0906,0.0906,8,109.997,Butter,https://api.spotify.com/v1/tracks/2bgTY4UwhfBYhGT4HUYStN,0.695,60f79078a24480877399e27b
0.321,Justin Bieber,0.677,0.696,0,0.42,0.42,0,90.03,Peaches (feat. Daniel Caesar & Giveon),https://api.spotify.com/v1/tracks/4iJyoBOLtHqaGxP12qzhQI,0.464,60f79078a24480877399e27c
0.691,Olivia Rodrigo,0.38,0.339,0,0.12,0.12,3,100.607,traitor,https://api.spotify.com/v1/tracks/5CZ40GBx1sQ9agT82CLQCT,0.0849,60f79078a24480877399e27d
0.584,Olivia Rodrigo,0.442,0.612,0.0000057,0.37,0.37,2,180.917,deja vu,https://api.spotify.com/v1/tracks/6HU7h9RYOaPRFeh0R3UeAr,0.178,60f79078a24480877399e27e
0.114,Nio Garcia,0.743,0.655,0,0.0764,0.0764,6,172.031,AM Remix,https://api.spotify.com/v1/tracks/05bfbizlM5AX6Mf1RRyMho,0.785,60f79078a24480877399e27f
0.0215,The Weeknd,0.65,0.825,0.0000244,0.0936,0.0936,0,118.091,Save Your Tears (with Ariana Grande) (Remix),https://api.spotify.com/v1/tracks/37BZB0z9T8Xu7U3e65qxFy,0.593,60f79079a24480877399e280
0.207,Mora,0.659,0.688,0,0.113,0.113,6,153.979,Volando - Remix,https://api.spotify.com/v1/tracks/0G2zPzWqVjR68iNPmx2TBe,0.632,60f79079a24480877399e281
