Acousticness,Artist Name,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Tempo,Track Name,Track Reference,Valence,_id
0.302,Rauw Alejandro,0.78,0.719,0.000196,0.0931,0.0931,3,127.962,Todo De Ti,https://api.spotify.com/v1/tracks/5RwV8BvLfX5injfqYodke9,0.336,60fa060e214825fec63ff969
0.276,Bad Bunny,0.644,0.648,0,0.135,0.135,1,179.951,Yonaguni,https://api.spotify.com/v1/tracks/2JPLbjOn0wPCngEot2STUS,0.44,60fa060f214825fec63ff96a
0.0261,J Balvin,0.891,0.819,0.000354,0.173,0.173,8,101.968,Qué Más Pues?,https://api.spotify.com/v1/tracks/6hf0RpxTbOprT5nnwzkk8e,0.768,60fa060f214825fec63ff96b
0.656,Gera MX,0.727,0.546,0,0.122,0.122,0,106.891,Botella Tras Botella,https://api.spotify.com/v1/tracks/2MnLkFqY9Rpg9s3Zv6ZJdK,0.69,60fa060f214825fec63ff96c
0.114,Nio Garcia,0.743,0.655,0,0.0764,0.0764,6,172.031,AM Remix,https://api.spotify.com/v1/tracks/05bfbizlM5AX6Mf1RRyMho,0.785,60fa0610214825fec63ff96d
0.163,Sebastian Yatra,0.715,0.622,0,0.0948,0.0948,4,80.015,Pareja Del Año,https://api.spotify.com/v1/tracks/2rCbl9naJYhaxjLsfx88uM,0.808,60fa0610214825fec63ff96e
0.207,Mora,0.659,0.688,0,0.113,0.113,6,153.979,Volando - Remix,https://api.spotify.com/v1/tracks/0G2zPzWqVjR68iNPmx2TBe,0.632,60fa0610214825fec63ff96f
0.401,Bad Bunny,0.731,0.573,0.0000522,0.113,0.113,4,109.928,DÁKITI,https://api.spotify.com/v1/tracks/4MzXwWMhyBbmu6hOcLVD49,0.145,60fa0610214825fec63ff970
0.127,Måneskin,0.714,0.8,0,0.359,0.359,11,134.002,"Beggin'",https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,0.589,60fa0610214825fec63ff971
0.282,Marc Seguí,0.75,0.522,0,0.0743,0.0743,9,110.427,Tiroteo - Remix,https://api.spotify.com/v1/tracks/4OwhwvKESFtuu06dTgct7i,0.601,60fa0611214825fec63ff972
0.407,Los Legendarios,0.849,0.701,0,0.112,0.112,6,98.005,Fiel,https://api.spotify.com/v1/tracks/7Bk0uXKk1uPT0XuQbpFzvs,0.505,60fa0611214825fec63ff973
0.709,Rauw Alejandro,0.768,0.56,0.000791,0.115,0.115,3,112.084,2/Catorce,https://api.spotify.com/v1/tracks/0PwFN7vRvY80Hnkoew2x3f,0.372,60fa0611214825fec63ff974
0.054,LAGOS,0.699,0.654,0.00000708,0.095,0.095,11,100.037,Mónaco,https://api.spotify.com/v1/tracks/3HgvO4B5LLmdPOT2d8cSZd,0.319,60fa0611214825fec63ff975
0.102,J Balvin,0.813,0.809,0.00000137,0.377,0.377,3,93.005,Poblado - Remix,https://api.spotify.com/v1/tracks/1WedZeiezCmCEOzLwhx0hV,0.646,60fa0611214825fec63ff976
0.696,Marca MP,0.673,0.326,0.00000373,0.103,0.103,0,133.309,Ya Acabo,https://api.spotify.com/v1/tracks/4H3t8C59tXjKf1R2iKtc5M,0.672,60fa0612214825fec63ff977
0.138,Maluma,0.762,0.77,0,0.15,0.15,5,177.998,Sobrio,https://api.spotify.com/v1/tracks/4HzqWEdAbzcVFDv0pvxV4w,0.631,60fa0612214825fec63ff978
0.398,Wisin,0.839,0.711,0.00000202,0.118,0.118,6,97.99,Fiel - Remix,https://api.spotify.com/v1/tracks/43qcs9NpJhDxtG91zxFkj7,0.573,60fa0612214825fec63ff979
