Acousticness,Artist Name,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Tempo,Track Name,Track Reference,Valence,_id
0.0383,The Kid LAROI,0.591,0.764,0,0.103,0.103,1,169.928,Stay (with Justin Bieber),https://api.spotify.com/v1/tracks/5HCyWlXZPP0y6Gqq8TgA20,0.478,60fa03e35b7a4bb77929ffdf
0.335,Olivia Rodrigo,0.563,0.664,0,0.0849,0.0849,9,166.928,good 4 u,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,0.688,60fa03e45b7a4bb77929ffe0
0.259,Doja Cat,0.764,0.705,0.0000892,0.12,0.12,8,110.97,Kiss Me More (feat. SZA),https://api.spotify.com/v1/tracks/3DarAbFujv6eYNliUTyqtz,0.781,60fa03e55b7a4bb77929ffe1
0.506,Doja Cat,0.855,0.488,0,0.347,0.347,3,124.097,"Ain't Shit",https://api.spotify.com/v1/tracks/5lAnYvAIkSDNXqfo7DyFUm,0.619,60fa03e55b7a4bb77929ffe2
0.127,Måneskin,0.714,0.8,0,0.359,0.359,11,134.002,"Beggin'",https://api.spotify.com/v1/tracks/3Wrjm47oTz2sjIgck11l5e,0.589,60fa03e55b7a4bb77929ffe3
0.00883,Dua Lipa,0.702,0.825,0,0.0674,0.0674,6,102.977,Levitating (feat. DaBaby),https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF,0.915,60fa03e55b7a4bb77929ffe4
0.584,Olivia Rodrigo,0.442,0.612,0.0000057,0.37,0.37,2,180.917,deja vu,https://api.spotify.com/v1/tracks/6HU7h9RYOaPRFeh0R3UeAr,0.178,60fa03e55b7a4bb77929ffe5
0.691,Olivia Rodrigo,0.38,0.339,0,0.12,0.12,3,100.607,traitor,https://api.spotify.com/v1/tracks/5CZ40GBx1sQ9agT82CLQCT,0.0849,60fa03e65b7a4bb77929ffe6
0.0469,Ed Sheeran,0.808,0.897,0.0000314,0.364,0.364,11,126.026,Bad Habits,https://api.spotify.com/v1/tracks/6PQ88X9TkUIAUIZJHW2upE,0.591,60fa03e65b7a4bb77929ffe7
0.0904,Post Malone,0.797,0.631,0.00000371,0.0998,0.0998,3,129.915,Motley Crew,https://api.spotify.com/v1/tracks/40uMIn2zJLAQhNXghRjBed,0.288,60fa03e65b7a4bb77929ffe8
0.41,Polo G,0.789,0.536,0,0.129,0.129,6,81.039,RAPSTAR,https://api.spotify.com/v1/tracks/18vXApRmJSgQ6wG2ll9AOg,0.437,60fa03e65b7a4bb77929ffe9
0.297,Lil Nas X,0.61,0.508,0,0.384,0.384,8,178.818,MONTERO (Call Me By Your Name),https://api.spotify.com/v1/tracks/67BtfxlNbhBmCDR2L2l8qd,0.758,60fa03e65b7a4bb77929ffea
0.44,Glass Animals,0.761,0.525,0.0000067,0.0921,0.0921,11,80.87,Heat Waves,https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx,0.531,60fa03e65b7a4bb77929ffeb
0.304,Doja Cat,0.664,0.609,0,0.0926,0.0926,1,130.041,Need To Know,https://api.spotify.com/v1/tracks/3Vi5XqYrmQgOYBajMWSvCi,0.194,60fa03e75b7a4bb77929ffec
