,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Petrouchka (feat. PLK)","Soso Maness",406013,https://open.spotify.com/track/03y045SZqaC94yfXl1cU4E
2,"La kiffance",Naps,391310,https://open.spotify.com/track/1bwhDrXcAtqePp8mNJ0pTe
3,"Daddy chocolat","Koba LaD",344440,https://open.spotify.com/track/4IbDTrLxImTJfZePAX2nKB
4,"R9R-LINE (feat. Damso)",Laylow,267302,https://open.spotify.com/track/4QoZVMhE66MDCd0igG0hd6
5,Beggin',Måneskin,266547,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
6,"MONTERO (Call Me By Your Name)","Lil Nas X",237420,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
7,"Never Going Home",Kungs,225011,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
8,"SPECIAL (feat. Nekfeu & Fousheé)",Laylow,215603,https://open.spotify.com/track/11HLDMuPD3wh88XHw4udKO
9,"Pic et pic, alcool et drame",Jul,204816,https://open.spotify.com/track/14M6BbiHt2w9KHVvoIUIUF
10,"Afro Trap Part. 11 (King Kong)",MHD,198084,https://open.spotify.com/track/1ZSdPeVhNy8VuSiXM3pXhv
11,TDB,OBOY,197418,https://open.spotify.com/track/27Z3UdqvdAhtJlWBMoDjBD
12,"La Seleçao",Alonzo,194408,https://open.spotify.com/track/2vd2HEhrkafOi2uveHjzzh
13,"Alors la zone",Jul,191743,https://open.spotify.com/track/5SYovWMQq0vPKMg7kzYCVy
14,"Bad Habits","Ed Sheeran",187833,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
15,"A Un Paso De La Luna - Remix",Reik,175868,https://open.spotify.com/track/6EQR7Y5vVZFiPD0RUECIDv
16,IVERSON,Laylow,172258,https://open.spotify.com/track/5ZjEm81TYFPfE6Ddc0memq
17,"Mon soleil",Dadju,165006,https://open.spotify.com/track/2Dv1CPIgX29t816ZLscdB2
18,"STUNTMEN (feat. Alpha Wann & Wit.)",Laylow,163459,https://open.spotify.com/track/1YEs58i4G68twRzYaFEu7T
19,"WINDOW SHOPPER PART. 2 (feat. Hamza)",Laylow,159233,https://open.spotify.com/track/6wFP7BMVFeA6cxUUyTrIxN
20,HAINE&SEX,Gazo,148579,https://open.spotify.com/track/6Vcxzw4ifKqYxVrp3ckpVF
21,Bimbo,"Marwa Loud",146502,https://open.spotify.com/track/3ieLcaMIyl1Avm7JtHSk0d
22,"Iko Iko (My Bestie)","Justin Wellington",146410,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
23,"VOIR LE MONDE BRÛLER",Laylow,142605,https://open.spotify.com/track/4r0U3YkeJvKNsCRSdCs9lx
24,"Levitating (feat. DaBaby)","Dua Lipa",141756,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
25,Pololo,MHD,141345,https://open.spotify.com/track/2gmTz7pHMqAk6fpOc88qxA
26,"UN RÊVE ÉTRANGE",Laylow,134368,https://open.spotify.com/track/0L1JUpc6bjrBvK9pqMTGcb
27,"Jolie madame (feat. Ronisia)","Joé Dwèt Filé",133824,https://open.spotify.com/track/6gblTHN7eKFPvm4XxnYhl8
28,"WINDOW SHOPPER PART. 1",Laylow,133521,https://open.spotify.com/track/29GT81KcfMhfYV1BSpL3p2
29,Dinero,"Trinidad Cardona",133484,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
30,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,132989,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
31,"Le temps",Tayc,132008,https://open.spotify.com/track/360oH1CqXe9XXzbbi6hvyr
32,"Bande organisée","13 Organisé",130613,https://open.spotify.com/track/717QGTmZdkemDaCo1vQHG0
33,"UNE HISTOIRE ÉTRANGE",Laylow,130370,https://open.spotify.com/track/1LqDW54jByEjfZJMadiLJU
34,Bobo,"Aya Nakamura",130362,https://open.spotify.com/track/6wL9pSXJ4roDSEoBpYyQy7
35,"Kiss Me More (feat. SZA)","Doja Cat",129739,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
36,"Calabria (feat. Lujavo & Nito-Onna)",DMNDS,128925,https://open.spotify.com/track/3M89zvwwb1jtDUDKYNsdiA
37,"Eté 90","Therapie TAXI",127618,https://open.spotify.com/track/1p9dxTMtG4gZpLp7yzvT54
38,"Ani Kuni - Edit","Polo & Pan",125478,https://open.spotify.com/track/0Ae5IeIdyaIzp43cdXXtZc
39,Bebeto,"Kendji Girac",122764,https://open.spotify.com/track/5dQIouH7fnD63c0Nd7muR5
40,"LOST FOREST",Laylow,122355,https://open.spotify.com/track/1SWNxL41LgHnQNu9hFkHGY
41,"Love Tonight - Edit",Shouse,122203,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
42,Dragon,Booba,120503,https://open.spotify.com/track/14vp956PlLOMun7sDqJ1f7
43,"Vroum Vroum","Moha K",118879,https://open.spotify.com/track/1TmuaS1lnCUf7yCLk2hwDT
44,"Dancing On Dangerous (feat. Sofía Reyes)",Imanbek,117805,https://open.spotify.com/track/6OYZvwKN8GaauTrJS1TuuH
45,"Mon poto - Extrait de la BO de « En Passant Pécho »",Kore,114227,https://open.spotify.com/track/5qFOdxS3v8Dny9T4p2CUIy
46,"La danse des bandits",Naps,112993,https://open.spotify.com/track/3bGGvbwbhq9kIMhHaXBdYL
47,"good 4 u","Olivia Rodrigo",109684,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
48,"Mona Lisa",Booba,109005,https://open.spotify.com/track/5LYRIyhmlrDAQsYdHEvP0f
49,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",106250,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
50,"QUE LA PLUIE",Laylow,104610,https://open.spotify.com/track/5WxF9OZW6Fn5AN26J3RkWW
