,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Todo De Ti","Rauw Alejandro",952609,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
2,Yonaguni,"Bad Bunny",860476,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
3,"Qué Más Pues?","J Balvin",663470,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
4,"Botella Tras Botella","Gera MX",601604,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
5,"AM Remix","Nio Garcia",596388,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
6,"Pareja Del Año","Sebastian Yatra",496806,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
7,"Volando - Remix",Mora,433937,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
8,DÁKITI,"Bad Bunny",378845,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
9,Beggin',Måneskin,372214,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
10,"Tiroteo - Remix","Marc Seguí",349377,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
11,Fiel,"Los Legendarios",322227,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
12,2/Catorce,"Rauw Alejandro",312754,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
13,Mónaco,LAGOS,308284,https://open.spotify.com/track/3HgvO4B5LLmdPOT2d8cSZd
14,"Poblado - Remix","J Balvin",298551,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
15,"Ya Acabo","Marca MP",284110,https://open.spotify.com/track/4H3t8C59tXjKf1R2iKtc5M
16,Sobrio,Maluma,283317,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
17,"Fiel - Remix",Wisin,282292,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
18,"EL MAKINON","KAROL G",277596,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
19,"Porte Exuberante","Natanael Cano",277559,https://open.spotify.com/track/4DdnffqoFr9wDRlCACNmGf
20,Hawái,Maluma,250639,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
21,telepatía,"Kali Uchis",243031,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
22,París,Ingratax,239172,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
23,"Sal y Perrea",Sech,238033,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
24,"Kiss Me More (feat. SZA)","Doja Cat",237855,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
25,512,Mora,237620,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
26,Bandido,"Myke Towers",232613,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
27,Miénteme,TINI,230649,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
28,"good 4 u","Olivia Rodrigo",229483,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
29,"LA NOCHE DE ANOCHE","Bad Bunny",227629,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
30,"Permission to Dance",BTS,227456,https://open.spotify.com/track/0LThjFY2iTtNdd4wviwVV2
31,"El Tóxico","Grupo Firme",227074,https://open.spotify.com/track/7E9GeFGfjXw9LAI4ay6rsw
32,AM,"Nio Garcia",226594,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
33,"Ram Pam Pam","Natti Natasha",226041,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
34,"911 - Remix",Sech,224411,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
